,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
0,Jurong (West),2019,4,1,19.8,12.0,15.8,18.0,27.0,30.6,23.8,7.6,42.8
1,Jurong (West),2019,4,2,0.0,0.0,0.0,0.0,27.9,32.5,26.0,5.8,23.0
2,Jurong (West),2019,4,3,15.6,7.4,10.2,12.4,26.8,32.0,22.4,6.1,60.8
3,Jurong (West),2019,4,4,9.6,5.6,9.4,9.4,28.2,34.5,25.6,7.6,27.0
4,Jurong (West),2019,4,5,3.4,2.0,2.2,3.4,27.6,33.3,25.4,6.5,31.3
5,Jurong (West),2019,4,6,0.2,0.2,0.2,0.2,28.2,33.8,24.6,7.6,24.8
6,Jurong (West),2019,4,7,0.0,0.0,0.0,0.0,28.7,34.0,25.1,6.1,22.0
7,Jurong (West),2019,4,8,2.2,2.0,2.2,2.2,28.5,34.4,25.8,6.8,28.4
8,Jurong (West),2019,4,9,13.4,12.2,13.2,13.4,28.1,33.8,25.2,6.5,28.4
9,Jurong (West),2019,4,10,0.2,0.2,0.2,0.2,28.0,32.6,25.4,6.1,26.6
10,Jurong (West),2019,4,11,0.0,0.0,0.0,0.0,27.7,31.0,25.8,5.0,22.7
11,Jurong (West),2019,4,12,0.0,0.0,0.0,0.0,28.5,33.0,26.1,5.8,28.4
12,Jurong (West),2019,4,13,0.0,0.0,0.0,0.0,29.5,33.1,26.2,6.5,25.9
13,Jurong (West),2019,4,14,12.4,6.2,7.8,10.4,27.5,29.8,24.2,5.4,29.2
14,Jurong (West),2019,4,15,0.0,0.0,0.0,0.0,29.2,34.2,25.4,6.1,28.4
15,Jurong (West),2019,4,16,4.8,4.8,4.8,4.8,29.1,35.1,26.1,5.8,39.6
16,Jurong (West),2019,4,17,0.0,0.0,0.0,0.0,29.7,35.1,26.0,5.8,25.2
17,Jurong (West),2019,4,18,0.0,0.0,0.0,0.0,29.6,34.3,27.1,5.4,20.5
18,Jurong (West),2019,4,19,1.6,1.2,1.4,1.6,28.9,34.2,26.0,5.4,26.3
19,Jurong (West),2019,4,20,3.0,2.6,3.0,3.0,27.5,31.4,25.5,5.0,48.2
20,Jurong (West),2019,4,21,0.0,0.0,0.0,0.0,28.6,33.9,25.5,5.8,27.7
21,Jurong (West),2019,4,22,0.2,0.2,0.2,0.2,28.6,31.6,26.4,5.8,28.1
22,Jurong (West),2019,4,23,41.4,23.0,36.2,40.6,26.9,33.3,24.1,6.1,37.8
23,Jurong (West),2019,4,24,0.0,0.0,0.0,0.0,27.9,32.5,25.4,4.7,24.1
24,Jurong (West),2019,4,25,5.0,3.6,4.6,4.6,27.8,31.1,26.6,5.0,32.0
25,Jurong (West),2019,4,26,33.0,12.0,17.2,21.0,25.5,27.5,23.8,5.4,35.6
26,Jurong (West),2019,4,27,8.4,4.8,6.0,6.2,27.2,30.4,24.3,6.1,27.7
27,Jurong (West),2019,4,28,0.0,0.0,0.0,0.0,28.6,32.8,25.2,6.1,31.3
28,Jurong (West),2019,4,29,1.2,1.0,1.0,1.0,28.3,32.9,25.0,6.1,21.6
29,Jurong (West),2019,4,30,0.0,0.0,0.0,0.0,28.0,31.7,25.0,6.1,22.3
0,Jurong (West),2020,4,1,0.0,0.0,0.0,0.0,29.2,34.2,25.9,5.4,27.8
1,Jurong (West),2020,4,2,17.0,9.4,11.4,11.6,28.2,35.0,24.4,5.5,45.4
2,Jurong (West),2020,4,3,38.6,32.6,37.2,38.2,27.5,32.6,23.8,5.5,30.9
3,Jurong (West),2020,4,4,4.0,4.0,4.0,4.0,28.1,32.8,25.7,5.4,24.8
4,Jurong (West),2020,4,5,3.0,2.2,2.4,2.8,27.4,33.6,24.6,5.7,43.5
5,Jurong (West),2020,4,6,4.6,3.8,4.4,4.6,26.9,31.8,24.9,4.9,23.3
6,Jurong (West),2020,4,7,71.8,25.6,39.6,58.4,26.7,31.4,22.9,5.5,35.6
7,Jurong (West),2020,4,8,23.4,22.0,23.4,23.4,27.6,34.6,24.0,6.0,31.3
8,Jurong (West),2020,4,9,0.2,0.2,0.2,0.2,28.6,35.0,25.1,6.8,30.9
9,Jurong (West),2020,4,10,0.0,0.0,0.0,0.0,28.7,32.9,25.0,6.5,25.9
10,Jurong (West),2020,4,11,0.0,0.0,0.0,0.0,28.6,32.8,26.5,6.3,25.2
11,Jurong (West),2020,4,12,0.2,0.2,0.2,0.2,28.4,33.5,26.0,6.3,29.1
12,Jurong (West),2020,4,13,2.6,2.0,2.2,2.2,27.6,32.6,25.0,5.5,25.9
13,Jurong (West),2020,4,14,0.0,0.0,0.0,0.0,29.1,34.2,26.2,6.8,26.7
14,Jurong (West),2020,4,15,0.0,0.0,0.0,0.0,29.3,34.3,26.1,7.3,32.4
15,Jurong (West),2020,4,16,0.0,0.0,0.0,0.0,29.3,33.9,26.0,7.1,24.4
16,Jurong (West),2020,4,17,0.0,0.0,0.0,0.0,29.4,34.8,26.0,6.4,26.3
17,Jurong (West),2020,4,18,6.4,6.4,6.4,6.4,28.9,33.9,25.7,6.6,36.7
18,Jurong (West),2020,4,19,0.0,0.0,0.0,0.0,30.1,35.2,27.1,6.8,26.7
19,Jurong (West),2020,4,20,0.0,0.0,0.0,0.0,30.0,35.1,26.9,7.8,29.8
20,Jurong (West),2020,4,21,12.2,7.4,10.0,12.2,28.4,35.0,24.5,5.2,35.2
21,Jurong (West),2020,4,22,0.2,0.2,0.2,0.2,29.2,34.3,26.6,6.7,29.4
22,Jurong (West),2020,4,23,8.0,6.8,7.4,8.0,27.6,33.8,25.6,4.5,23.7
23,Jurong (West),2020,4,24,67.2,48.6,61.0,64.4,26.8,33.8,23.3,5.2,36.7
24,Jurong (West),2020,4,25,15.8,15.0,15.6,15.6,26.9,32.8,24.5,4.7,30.2
25,Jurong (West),2020,4,26,0.2,0.2,0.2,0.2,26.6,31.4,25.2,4.8,28.9
26,Jurong (West),2020,4,27,7.8,4.0,7.2,7.8,26.6,29.6,24.2,5.9,35.2
